staff_id,staff_name,result,location,course_interest,presentation_pct,psychometrics_pct
7,Sunny Sladefield,NULL,London Academy,NULL,59.38,40
8,Rupert Ripple,1,London Academy,Engineering,59.38,52
3,Gismo Tilling,1,London Academy,Engineering,78.13,64
7,Sunny Sladefield,1,London Academy,Business,56.25,56
3,Gismo Tilling,NULL,Birmingham Academy,NULL,50,45
2,Doris Bellasis,NULL,London Academy,NULL,78.13,40
2,Doris Bellasis,1,London Academy,Engineering,62.5,51
3,Gismo Tilling,1,London Academy,Business,68.75,69
7,Sunny Sladefield,0,Birmingham Academy,Engineering,68.75,59
3,Gismo Tilling,NULL,Birmingham Academy,NULL,43.75,48
2,Doris Bellasis,NULL,London Academy,NULL,40.63,52
5,Stacey Broad,0,Birmingham Academy,Data,59.38,57
6,Fifi Eton,0,Birmingham Academy,Data,62.5,61
8,Rupert Ripple,1,Birmingham Academy,Engineering,53.13,54
2,Doris Bellasis,1,London Academy,Engineering,65.63,51
5,Stacey Broad,1,Birmingham Academy,Engineering,53.13,60
2,Doris Bellasis,1,London Academy,Data,50,57
6,Fifi Eton,1,London Academy,Engineering,75,50
2,Doris Bellasis,1,London Academy,Engineering,59.38,65
8,Rupert Ripple,1,London Academy,Data,50,53
6,Fifi Eton,NULL,Birmingham Academy,NULL,75,40
1,Bruno Bellbrook,1,Birmingham Academy,Data,65.63,65
1,Bruno Bellbrook,1,London Academy,Data,65.63,66
2,Doris Bellasis,1,London Academy,Engineering,62.5,56
3,Gismo Tilling,1,London Academy,Business,75,51
8,Rupert Ripple,1,Birmingham Academy,Engineering,53.13,63
1,Bruno Bellbrook,0,Birmingham Academy,Business,56.25,63
1,Bruno Bellbrook,1,London Academy,Engineering,59.38,66
2,Doris Bellasis,0,London Academy,Business,59.38,51
8,Rupert Ripple,0,London Academy,Data,53.13,54
1,Bruno Bellbrook,NULL,Birmingham Academy,NULL,53.13,38
2,Doris Bellasis,NULL,Birmingham Academy,NULL,75,45
2,Doris Bellasis,1,Birmingham Academy,Business,65.63,60
8,Rupert Ripple,0,Birmingham Academy,Engineering,56.25,53
6,Fifi Eton,0,London Academy,Business,71.88,51
1,Bruno Bellbrook,NULL,Birmingham Academy,NULL,62.5,44
2,Doris Bellasis,NULL,London Academy,NULL,53.13,47
8,Rupert Ripple,NULL,London Academy,NULL,81.25,42
3,Gismo Tilling,1,Birmingham Academy,Data,71.88,60
3,Gismo Tilling,NULL,London Academy,NULL,59.38,48
1,Bruno Bellbrook,1,London Academy,Business,56.25,60
2,Doris Bellasis,1,London Academy,Engineering,75,54
7,Sunny Sladefield,1,Birmingham Academy,Business,50,66
1,Bruno Bellbrook,0,London Academy,Data,59.38,51
7,Sunny Sladefield,1,London Academy,Business,65.63,50
8,Rupert Ripple,1,London Academy,Data,81.25,50
1,Bruno Bellbrook,1,London Academy,Data,50,57
3,Gismo Tilling,1,Birmingham Academy,Data,53.13,50
8,Rupert Ripple,1,Birmingham Academy,Business,53.13,54
2,Doris Bellasis,0,London Academy,Engineering,68.75,62
6,Fifi Eton,1,London Academy,Engineering,71.88,57
5,Stacey Broad,NULL,London Academy,NULL,56.25,43
1,Bruno Bellbrook,0,London Academy,Business,53.13,54
1,Bruno Bellbrook,0,London Academy,Data,59.38,55
3,Gismo Tilling,1,Birmingham Academy,Data,62.5,56
1,Bruno Bellbrook,0,Birmingham Academy,Engineering,75,59
7,Sunny Sladefield,0,Birmingham Academy,Business,56.25,53
5,Stacey Broad,1,London Academy,Business,46.88,51
3,Gismo Tilling,1,London Academy,Data,81.25,50
8,Rupert Ripple,1,London Academy,Engineering,71.88,53
8,Rupert Ripple,NULL,London Academy,NULL,68.75,42
6,Fifi Eton,0,London Academy,Business,78.13,51
1,Bruno Bellbrook,NULL,London Academy,NULL,50,44
2,Doris Bellasis,NULL,Birmingham Academy,NULL,56.25,48
6,Fifi Eton,0,London Academy,Business,59.38,59
5,Stacey Broad,1,London Academy,Business,46.88,52
8,Rupert Ripple,1,London Academy,Data,78.13,63
2,Doris Bellasis,NULL,London Academy,NULL,43.75,50
5,Stacey Broad,0,London Academy,Engineering,62.5,60
2,Doris Bellasis,1,London Academy,Data,62.5,53
5,Stacey Broad,0,London Academy,Data,71.88,55
8,Rupert Ripple,1,London Academy,Engineering,75,57
7,Sunny Sladefield,1,London Academy,Data,56.25,56
6,Fifi Eton,1,London Academy,Data,65.63,51
5,Stacey Broad,1,London Academy,Data,56.25,53
5,Stacey Broad,0,London Academy,Business,59.38,70
5,Stacey Broad,1,Birmingham Academy,Business,68.75,59
5,Stacey Broad,1,London Academy,Business,81.25,62
6,Fifi Eton,1,London Academy,Data,65.63,58
2,Doris Bellasis,0,London Academy,Engineering,59.38,56
3,Gismo Tilling,NULL,London Academy,NULL,71.88,49
1,Bruno Bellbrook,1,Birmingham Academy,Data,50,66
3,Gismo Tilling,NULL,London Academy,NULL,40.63,50
2,Doris Bellasis,0,London Academy,Business,78.13,58
2,Doris Bellasis,1,London Academy,Data,75,58
8,Rupert Ripple,1,Birmingham Academy,Business,59.38,66
5,Stacey Broad,0,London Academy,Business,56.25,51
8,Rupert Ripple,0,Birmingham Academy,Engineering,71.88,61
7,Sunny Sladefield,NULL,London Academy,NULL,84.38,40
5,Stacey Broad,0,Birmingham Academy,Business,81.25,67
7,Sunny Sladefield,1,London Academy,Data,59.38,52
2,Doris Bellasis,1,London Academy,Data,50,51
2,Doris Bellasis,1,London Academy,Data,68.75,65
6,Fifi Eton,1,London Academy,Business,50,59
1,Bruno Bellbrook,1,London Academy,Data,62.5,54
5,Stacey Broad,1,Birmingham Academy,Business,78.13,64
2,Doris Bellasis,0,London Academy,Engineering,75,54
8,Rupert Ripple,1,London Academy,Business,68.75,53
5,Stacey Broad,1,London Academy,Data,68.75,68
2,Doris Bellasis,NULL,Birmingham Academy,NULL,68.75,47
5,Stacey Broad,1,London Academy,Data,53.13,55
2,Doris Bellasis,0,London Academy,Business,56.25,56
3,Gismo Tilling,NULL,London Academy,NULL,71.88,49
3,Gismo Tilling,0,London Academy,Business,59.38,57
2,Doris Bellasis,0,London Academy,Data,56.25,57
8,Rupert Ripple,NULL,London Academy,NULL,78.13,48
1,Bruno Bellbrook,1,London Academy,Data,65.63,58
6,Fifi Eton,NULL,London Academy,NULL,53.13,45
3,Gismo Tilling,NULL,London Academy,NULL,65.63,41
7,Sunny Sladefield,0,London Academy,Business,78.13,56
2,Doris Bellasis,1,London Academy,Business,75,50
2,Doris Bellasis,1,London Academy,Engineering,62.5,73
6,Fifi Eton,1,London Academy,Engineering,68.75,53
6,Fifi Eton,0,London Academy,Business,53.13,64
6,Fifi Eton,1,London Academy,Data,62.5,56
2,Doris Bellasis,NULL,London Academy,NULL,59.38,49
6,Fifi Eton,NULL,London Academy,NULL,56.25,46
5,Stacey Broad,1,London Academy,Business,75,58
6,Fifi Eton,0,London Academy,Engineering,53.13,59
8,Rupert Ripple,0,London Academy,Data,59.38,54
2,Doris Bellasis,NULL,London Academy,NULL,53.13,49
7,Sunny Sladefield,NULL,London Academy,NULL,71.88,46
6,Fifi Eton,1,Birmingham Academy,Engineering,56.25,59
6,Fifi Eton,1,London Academy,Data,68.75,59
2,Doris Bellasis,1,London Academy,Engineering,53.13,60
7,Sunny Sladefield,0,Birmingham Academy,Business,50,53
1,Bruno Bellbrook,1,London Academy,Business,78.13,60
7,Sunny Sladefield,NULL,London Academy,NULL,56.25,43
8,Rupert Ripple,0,London Academy,Engineering,65.63,55
6,Fifi Eton,1,Birmingham Academy,Business,46.88,63
5,Stacey Broad,0,Birmingham Academy,Data,56.25,61
7,Sunny Sladefield,NULL,London Academy,NULL,50,46
3,Gismo Tilling,NULL,London Academy,NULL,59.38,46
1,Bruno Bellbrook,1,London Academy,Data,78.13,58
1,Bruno Bellbrook,1,London Academy,Data,59.38,55
1,Bruno Bellbrook,1,London Academy,Data,87.5,57
1,Bruno Bellbrook,1,London Academy,Business,65.63,54
1,Bruno Bellbrook,0,London Academy,Business,50,60
8,Rupert Ripple,1,London Academy,Engineering,81.25,65
8,Rupert Ripple,1,London Academy,Data,62.5,57
1,Bruno Bellbrook,1,London Academy,Business,68.75,62
8,Rupert Ripple,0,London Academy,Data,71.88,55
1,Bruno Bellbrook,1,London Academy,Engineering,65.63,56
7,Sunny Sladefield,NULL,London Academy,NULL,62.5,47
5,Stacey Broad,NULL,Birmingham Academy,NULL,62.5,49
7,Sunny Sladefield,0,Birmingham Academy,Business,53.13,51
6,Fifi Eton,0,Birmingham Academy,Engineering,62.5,56
7,Sunny Sladefield,1,Birmingham Academy,Engineering,53.13,65
1,Bruno Bellbrook,1,London Academy,Engineering,62.5,72
3,Gismo Tilling,NULL,London Academy,NULL,56.25,48
7,Sunny Sladefield,1,Birmingham Academy,Engineering,65.63,52
1,Bruno Bellbrook,NULL,London Academy,NULL,56.25,44
5,Stacey Broad,1,London Academy,Engineering,56.25,52
3,Gismo Tilling,NULL,London Academy,NULL,50,45
6,Fifi Eton,1,Birmingham Academy,Business,68.75,59
3,Gismo Tilling,NULL,London Academy,NULL,43.75,49
8,Rupert Ripple,1,London Academy,Data,59.38,64
8,Rupert Ripple,NULL,Birmingham Academy,NULL,75,49
2,Doris Bellasis,0,London Academy,Business,71.88,61
1,Bruno Bellbrook,1,London Academy,Engineering,71.88,54
5,Stacey Broad,0,London Academy,Data,56.25,54
8,Rupert Ripple,1,London Academy,Data,59.38,60
8,Rupert Ripple,NULL,Birmingham Academy,NULL,43.75,59
1,Bruno Bellbrook,0,Birmingham Academy,Engineering,50,54
8,Rupert Ripple,1,London Academy,Engineering,62.5,60
1,Bruno Bellbrook,NULL,London Academy,NULL,71.88,48
5,Stacey Broad,0,Birmingham Academy,Data,65.63,55
5,Stacey Broad,1,London Academy,Business,71.88,55
8,Rupert Ripple,0,London Academy,Data,71.88,53
1,Bruno Bellbrook,1,Birmingham Academy,Data,59.38,57
1,Bruno Bellbrook,0,London Academy,Data,68.75,50
7,Sunny Sladefield,0,Birmingham Academy,Engineering,68.75,64
6,Fifi Eton,0,London Academy,Business,71.88,63
6,Fifi Eton,1,London Academy,Data,46.88,53
6,Fifi Eton,1,London Academy,Engineering,71.88,52
5,Stacey Broad,0,Birmingham Academy,Engineering,62.5,62
2,Doris Bellasis,NULL,London Academy,NULL,68.75,47
5,Stacey Broad,1,London Academy,Business,71.88,59
5,Stacey Broad,1,London Academy,Engineering,59.38,61
8,Rupert Ripple,1,London Academy,Engineering,75,56
5,Stacey Broad,0,Birmingham Academy,Engineering,68.75,59
6,Fifi Eton,1,London Academy,Business,62.5,54
8,Rupert Ripple,0,London Academy,Business,68.75,55
5,Stacey Broad,1,Birmingham Academy,Business,59.38,72
6,Fifi Eton,1,London Academy,Business,75,55
6,Fifi Eton,1,London Academy,Business,59.38,59
3,Gismo Tilling,1,London Academy,Data,53.13,50
3,Gismo Tilling,1,London Academy,Engineering,59.38,57
3,Gismo Tilling,0,London Academy,Data,62.5,55
2,Doris Bellasis,1,London Academy,Business,56.25,53
8,Rupert Ripple,NULL,Birmingham Academy,NULL,78.13,49
6,Fifi Eton,NULL,London Academy,NULL,75,44
5,Stacey Broad,1,Birmingham Academy,Business,53.13,59
1,Bruno Bellbrook,NULL,Birmingham Academy,NULL,68.75,47
8,Rupert Ripple,0,London Academy,Data,53.13,53
1,Bruno Bellbrook,NULL,London Academy,NULL,34.38,49
2,Doris Bellasis,1,Birmingham Academy,Business,65.63,52
8,Rupert Ripple,NULL,Birmingham Academy,NULL,78.13,47
1,Bruno Bellbrook,0,London Academy,Data,59.38,65
8,Rupert Ripple,NULL,London Academy,NULL,59.38,47
2,Doris Bellasis,NULL,Birmingham Academy,NULL,71.88,46
3,Gismo Tilling,1,London Academy,Engineering,75,59
5,Stacey Broad,1,London Academy,Data,75,58
3,Gismo Tilling,0,London Academy,Business,71.88,63
5,Stacey Broad,1,London Academy,Engineering,62.5,67
6,Fifi Eton,NULL,Birmingham Academy,NULL,59.38,47
8,Rupert Ripple,0,London Academy,Engineering,59.38,57
6,Fifi Eton,1,Birmingham Academy,Data,46.88,51
8,Rupert Ripple,0,London Academy,Data,78.13,69
3,Gismo Tilling,1,London Academy,Engineering,59.38,58
3,Gismo Tilling,0,London Academy,Data,65.63,63
6,Fifi Eton,1,Birmingham Academy,Business,59.38,59
8,Rupert Ripple,NULL,London Academy,NULL,75,42
8,Rupert Ripple,0,London Academy,Data,56.25,59
3,Gismo Tilling,1,London Academy,Data,62.5,53
5,Stacey Broad,1,Birmingham Academy,Engineering,56.25,58
8,Rupert Ripple,1,London Academy,Engineering,68.75,54
7,Sunny Sladefield,NULL,London Academy,NULL,75,53
6,Fifi Eton,NULL,London Academy,NULL,56.25,50
8,Rupert Ripple,NULL,Birmingham Academy,NULL,59.38,44
1,Bruno Bellbrook,NULL,London Academy,NULL,56.25,58
7,Sunny Sladefield,NULL,London Academy,NULL,59.38,59
3,Gismo Tilling,NULL,London Academy,NULL,28.13,52
2,Doris Bellasis,NULL,London Academy,NULL,81.25,60
1,Bruno Bellbrook,NULL,London Academy,NULL,68.75,62
3,Gismo Tilling,NULL,Birmingham Academy,NULL,56.25,51
8,Rupert Ripple,NULL,Birmingham Academy,NULL,68.75,52
5,Stacey Broad,NULL,Birmingham Academy,NULL,56.25,66
6,Fifi Eton,NULL,London Academy,NULL,65.63,46
6,Fifi Eton,NULL,London Academy,NULL,62.5,55
8,Rupert Ripple,NULL,London Academy,NULL,62.5,53
3,Gismo Tilling,NULL,London Academy,NULL,78.13,48
2,Doris Bellasis,NULL,London Academy,NULL,56.25,66
2,Doris Bellasis,NULL,London Academy,NULL,68.75,47
1,Bruno Bellbrook,NULL,Birmingham Academy,NULL,65.63,52
6,Fifi Eton,NULL,Birmingham Academy,NULL,62.5,55
8,Rupert Ripple,NULL,London Academy,NULL,71.88,49
6,Fifi Eton,NULL,London Academy,NULL,62.5,60
1,Bruno Bellbrook,NULL,Birmingham Academy,NULL,53.13,50
2,Doris Bellasis,NULL,London Academy,NULL,71.88,52
6,Fifi Eton,NULL,London Academy,NULL,81.25,48
6,Fifi Eton,NULL,London Academy,NULL,75,52
2,Doris Bellasis,NULL,Birmingham Academy,NULL,65.63,54
6,Fifi Eton,NULL,London Academy,NULL,43.75,55
6,Fifi Eton,NULL,London Academy,NULL,53.13,62
8,Rupert Ripple,NULL,Birmingham Academy,NULL,68.75,62
3,Gismo Tilling,NULL,London Academy,NULL,84.38,52
5,Stacey Broad,NULL,London Academy,NULL,90.63,52
2,Doris Bellasis,NULL,London Academy,NULL,56.25,52
8,Rupert Ripple,NULL,Birmingham Academy,NULL,81.25,52
8,Rupert Ripple,NULL,London Academy,NULL,53.13,53
6,Fifi Eton,NULL,Birmingham Academy,NULL,43.75,58
5,Stacey Broad,NULL,London Academy,NULL,78.13,46
8,Rupert Ripple,NULL,Birmingham Academy,NULL,56.25,54
8,Rupert Ripple,NULL,London Academy,NULL,43.75,55
8,Rupert Ripple,NULL,London Academy,NULL,56.25,56
3,Gismo Tilling,NULL,London Academy,NULL,53.13,58
8,Rupert Ripple,NULL,Birmingham Academy,NULL,65.63,63
7,Sunny Sladefield,NULL,London Academy,NULL,71.88,51
3,Gismo Tilling,NULL,London Academy,NULL,28.13,42
8,Rupert Ripple,NULL,London Academy,NULL,59.38,53
8,Rupert Ripple,NULL,Birmingham Academy,NULL,46.88,60
7,Sunny Sladefield,NULL,Birmingham Academy,NULL,71.88,49
3,Gismo Tilling,NULL,London Academy,NULL,71.88,60
8,Rupert Ripple,NULL,Birmingham Academy,NULL,65.63,56
7,Sunny Sladefield,NULL,Birmingham Academy,NULL,53.13,51
2,Doris Bellasis,NULL,London Academy,NULL,68.75,48
8,Rupert Ripple,NULL,London Academy,NULL,34.38,47
2,Doris Bellasis,NULL,Birmingham Academy,NULL,71.88,48
2,Doris Bellasis,NULL,London Academy,NULL,68.75,40
5,Stacey Broad,NULL,Birmingham Academy,NULL,71.88,63
7,Sunny Sladefield,NULL,London Academy,NULL,62.5,50
7,Sunny Sladefield,NULL,London Academy,NULL,78.13,52
1,Bruno Bellbrook,NULL,London Academy,NULL,68.75,51
3,Gismo Tilling,NULL,Birmingham Academy,NULL,56.25,62
7,Sunny Sladefield,NULL,London Academy,NULL,43.75,59
3,Gismo Tilling,NULL,London Academy,NULL,81.25,48
1,Bruno Bellbrook,NULL,London Academy,NULL,75,49
3,Gismo Tilling,NULL,Birmingham Academy,NULL,68.75,46
6,Fifi Eton,NULL,Birmingham Academy,NULL,62.5,51
6,Fifi Eton,NULL,London Academy,NULL,68.75,63
8,Rupert Ripple,NULL,London Academy,NULL,62.5,49
6,Fifi Eton,NULL,Birmingham Academy,NULL,75,64
7,Sunny Sladefield,NULL,Birmingham Academy,NULL,59.38,46
7,Sunny Sladefield,NULL,Birmingham Academy,NULL,62.5,51
8,Rupert Ripple,NULL,London Academy,NULL,62.5,61
7,Sunny Sladefield,NULL,London Academy,NULL,65.63,55
2,Doris Bellasis,NULL,London Academy,NULL,71.88,64
5,Stacey Broad,NULL,London Academy,NULL,50,62
2,Doris Bellasis,NULL,Birmingham Academy,NULL,62.5,58
3,Gismo Tilling,NULL,Birmingham Academy,NULL,62.5,58
6,Fifi Eton,NULL,London Academy,NULL,65.63,62
6,Fifi Eton,NULL,London Academy,NULL,62.5,61
7,Sunny Sladefield,NULL,London Academy,NULL,65.63,51
3,Gismo Tilling,NULL,London Academy,NULL,62.5,59
1,Bruno Bellbrook,NULL,Birmingham Academy,NULL,65.63,61
7,Sunny Sladefield,NULL,Birmingham Academy,NULL,59.38,55
5,Stacey Broad,NULL,Birmingham Academy,NULL,56.25,58
1,Bruno Bellbrook,NULL,London Academy,NULL,62.5,52
8,Rupert Ripple,NULL,London Academy,NULL,68.75,50
1,Bruno Bellbrook,NULL,Birmingham Academy,NULL,37.5,45
8,Rupert Ripple,NULL,London Academy,NULL,90.63,67
2,Doris Bellasis,NULL,Birmingham Academy,NULL,75,44
2,Doris Bellasis,NULL,Birmingham Academy,NULL,68.75,58
1,Bruno Bellbrook,NULL,London Academy,NULL,71.88,55
2,Doris Bellasis,NULL,London Academy,NULL,71.88,65
2,Doris Bellasis,NULL,Birmingham Academy,NULL,53.13,57
5,Stacey Broad,NULL,Birmingham Academy,NULL,43.75,41
6,Fifi Eton,NULL,Birmingham Academy,NULL,65.63,69
5,Stacey Broad,1,Birmingham Academy,Business,68.75,53
1,Bruno Bellbrook,0,Birmingham Academy,Data,59.38,51
8,Rupert Ripple,1,Birmingham Academy,Business,62.5,55
6,Fifi Eton,1,London Academy,Data,59.38,61
7,Sunny Sladefield,NULL,London Academy,NULL,43.75,57
7,Sunny Sladefield,NULL,London Academy,NULL,68.75,42
7,Sunny Sladefield,NULL,London Academy,NULL,65.63,46
5,Stacey Broad,1,London Academy,Engineering,56.25,57
6,Fifi Eton,0,London Academy,Business,68.75,54
7,Sunny Sladefield,0,Birmingham Academy,Business,68.75,64
1,Bruno Bellbrook,0,Birmingham Academy,Business,59.38,51
2,Doris Bellasis,0,Birmingham Academy,Data,65.63,56
3,Gismo Tilling,1,London Academy,Data,81.25,71
5,Stacey Broad,0,Birmingham Academy,Business,68.75,50
1,Bruno Bellbrook,NULL,London Academy,NULL,56.25,45
3,Gismo Tilling,0,Birmingham Academy,Engineering,62.5,58
6,Fifi Eton,1,Birmingham Academy,Data,71.88,62
5,Stacey Broad,0,Birmingham Academy,Business,65.63,51
1,Bruno Bellbrook,NULL,Birmingham Academy,NULL,65.63,44
8,Rupert Ripple,NULL,London Academy,NULL,53.13,43
5,Stacey Broad,1,London Academy,Engineering,59.38,53
5,Stacey Broad,0,London Academy,Data,59.38,58
8,Rupert Ripple,NULL,London Academy,NULL,50,39
7,Sunny Sladefield,0,London Academy,Data,59.38,61
2,Doris Bellasis,0,London Academy,Data,53.13,57
8,Rupert Ripple,1,London Academy,Engineering,68.75,61
3,Gismo Tilling,NULL,London Academy,NULL,53.13,48
3,Gismo Tilling,0,Birmingham Academy,Engineering,56.25,56
3,Gismo Tilling,1,London Academy,Business,59.38,53
7,Sunny Sladefield,1,London Academy,Data,53.13,53
6,Fifi Eton,NULL,London Academy,NULL,43.75,52
8,Rupert Ripple,NULL,London Academy,NULL,43.75,62
7,Sunny Sladefield,1,London Academy,Data,62.5,60
2,Doris Bellasis,1,Birmingham Academy,Engineering,68.75,63
8,Rupert Ripple,NULL,London Academy,NULL,62.5,48
6,Fifi Eton,0,London Academy,Business,59.38,59
8,Rupert Ripple,1,Birmingham Academy,Engineering,59.38,58
2,Doris Bellasis,NULL,London Academy,NULL,40.63,57
8,Rupert Ripple,1,Birmingham Academy,Engineering,59.38,54
2,Doris Bellasis,NULL,London Academy,NULL,65.63,32
2,Doris Bellasis,1,Birmingham Academy,Engineering,59.38,58
3,Gismo Tilling,1,Birmingham Academy,Engineering,50,55
2,Doris Bellasis,1,London Academy,Data,75,55
6,Fifi Eton,1,Birmingham Academy,Business,65.63,59
7,Sunny Sladefield,0,London Academy,Data,62.5,55
1,Bruno Bellbrook,NULL,London Academy,NULL,81.25,46
6,Fifi Eton,0,Birmingham Academy,Data,78.13,66
3,Gismo Tilling,1,Birmingham Academy,Engineering,53.13,62
7,Sunny Sladefield,1,London Academy,Business,75,54
3,Gismo Tilling,0,Birmingham Academy,Business,68.75,59
3,Gismo Tilling,1,Birmingham Academy,Business,50,63
1,Bruno Bellbrook,0,London Academy,Business,78.13,51
5,Stacey Broad,NULL,London Academy,NULL,68.75,45
8,Rupert Ripple,1,London Academy,Data,93.75,58
7,Sunny Sladefield,0,Birmingham Academy,Engineering,71.88,56
2,Doris Bellasis,1,Birmingham Academy,Business,84.38,61
2,Doris Bellasis,1,London Academy,Engineering,71.88,56
5,Stacey Broad,0,Birmingham Academy,Engineering,68.75,57
1,Bruno Bellbrook,1,London Academy,Engineering,75,58
7,Sunny Sladefield,1,Birmingham Academy,Data,46.88,58
8,Rupert Ripple,1,Birmingham Academy,Business,62.5,60
7,Sunny Sladefield,1,London Academy,Data,65.63,62
5,Stacey Broad,NULL,London Academy,NULL,65.63,45
5,Stacey Broad,1,London Academy,Data,68.75,54
6,Fifi Eton,NULL,London Academy,NULL,65.63,48
3,Gismo Tilling,NULL,Birmingham Academy,NULL,62.5,48
2,Doris Bellasis,0,London Academy,Business,59.38,50
6,Fifi Eton,0,London Academy,Business,65.63,54
7,Sunny Sladefield,0,Birmingham Academy,Data,56.25,56
2,Doris Bellasis,1,Birmingham Academy,Business,50,61
7,Sunny Sladefield,1,Birmingham Academy,Data,53.13,66
3,Gismo Tilling,1,London Academy,Data,71.88,51
1,Bruno Bellbrook,0,London Academy,Engineering,65.63,51
5,Stacey Broad,1,Birmingham Academy,Data,75,69
7,Sunny Sladefield,0,London Academy,Business,56.25,57
8,Rupert Ripple,NULL,London Academy,NULL,53.13,37
3,Gismo Tilling,NULL,Birmingham Academy,NULL,75,47
7,Sunny Sladefield,1,London Academy,Business,46.88,61
7,Sunny Sladefield,1,London Academy,Engineering,59.38,58
7,Sunny Sladefield,NULL,London Academy,NULL,43.75,42
2,Doris Bellasis,0,London Academy,Engineering,78.13,59
6,Fifi Eton,NULL,London Academy,NULL,62.5,44
5,Stacey Broad,1,London Academy,Engineering,68.75,65
8,Rupert Ripple,0,Birmingham Academy,Engineering,68.75,55
5,Stacey Broad,NULL,London Academy,NULL,78.13,47
1,Bruno Bellbrook,1,London Academy,Engineering,75,57
7,Sunny Sladefield,1,London Academy,Data,62.5,62
7,Sunny Sladefield,NULL,Birmingham Academy,NULL,43.75,52
5,Stacey Broad,0,Birmingham Academy,Engineering,65.63,53
2,Doris Bellasis,0,London Academy,Data,53.13,52
1,Bruno Bellbrook,1,Birmingham Academy,Business,71.88,59
5,Stacey Broad,0,Birmingham Academy,Data,68.75,55
3,Gismo Tilling,1,London Academy,Engineering,78.13,53
3,Gismo Tilling,NULL,Birmingham Academy,NULL,75,49
1,Bruno Bellbrook,0,London Academy,Business,75,55
1,Bruno Bellbrook,1,London Academy,Data,59.38,67
8,Rupert Ripple,NULL,London Academy,NULL,28.13,54
8,Rupert Ripple,1,Birmingham Academy,Engineering,62.5,60
7,Sunny Sladefield,NULL,London Academy,NULL,59.38,37
1,Bruno Bellbrook,0,Birmingham Academy,Business,62.5,57
3,Gismo Tilling,0,London Academy,Engineering,75,62
1,Bruno Bellbrook,1,London Academy,Business,68.75,51
6,Fifi Eton,1,London Academy,Business,56.25,61
1,Bruno Bellbrook,0,Birmingham Academy,Data,50,62
2,Doris Bellasis,0,Birmingham Academy,Data,56.25,59
8,Rupert Ripple,1,Birmingham Academy,Business,46.88,67
3,Gismo Tilling,NULL,London Academy,NULL,37.5,51
7,Sunny Sladefield,0,Birmingham Academy,Business,56.25,52
6,Fifi Eton,1,Birmingham Academy,Data,50,50
7,Sunny Sladefield,1,London Academy,Data,46.88,59
5,Stacey Broad,1,London Academy,Data,71.88,60
8,Rupert Ripple,NULL,London Academy,NULL,68.75,48
8,Rupert Ripple,NULL,London Academy,NULL,65.63,46
8,Rupert Ripple,0,London Academy,Engineering,68.75,58
5,Stacey Broad,0,London Academy,Engineering,65.63,53
5,Stacey Broad,0,Birmingham Academy,Engineering,87.5,63
8,Rupert Ripple,0,Birmingham Academy,Data,65.63,56
7,Sunny Sladefield,1,London Academy,Data,65.63,63
6,Fifi Eton,0,London Academy,Engineering,62.5,67
2,Doris Bellasis,1,London Academy,Business,59.38,56
3,Gismo Tilling,0,London Academy,Engineering,75,53
2,Doris Bellasis,0,London Academy,Business,62.5,57
2,Doris Bellasis,0,London Academy,Data,75,57
5,Stacey Broad,1,Birmingham Academy,Data,68.75,53
7,Sunny Sladefield,NULL,Birmingham Academy,NULL,78.13,49
